iso3	country	area	dis_int	landlocked	continent	maincity	citynum	langoff_1	langoff_2	langoff_3	lang20_1	lang20_2	lang20_3	lang20_4	lang9_1	lang9_2	lang9_3	lang9_4	colonizer1	colonizer2	colonizer3	colonizer4	short_colonizer1	short_colonizer2	short_colonizer3
MRT	Mauritania	1030700	381.8563	0	Africa	1	20	Arabic	.	.	Hassaniya Arabic	.	.	.	.	.	.	.	FRA	.	.	.	.	.	.
MUS	Mauritius	2045	17.00907	0	Africa	1	25	English	French	.	Morisyen	French	.	.	English	.	.	.	GBR	.	.	.	FRA	NLD	.
MWI	Malawi	118484	129.4684	1	Africa	1	25	English	.	.	Chichewa	.	.	.	Lomwé	Yao	English	.	GBR	.	.	.	.	.	.
MYS	Malaysia	329758	215.9889	0	Asia	1	25	Malay	Chinese	.	Malay	Chinese Min Nan	.	.	Tamoul	Chinese Yue	Chinese Hakka	.	GBR	.	.	.	.	.	.
NAM	Namibia	825518	341.741	0	Africa	1	25	English	.	.	English	Kwanyama	.	.	Afrikaans	.	.	.	DEU	ZAF	.	.	.	.	.
NER	Niger	1267000	423.372	1	Africa	1	25	French	Arabic	.	Hausa	Zarma	French	.	.	.	.	.	FRA	.	.	.	.	.	.
NGA	Nigeria	923768	361.5058	0	Africa	1	25	English	.	.	Yorouba	Hausa	English	.	Igbo	.	.	.	GBR	.	.	.	.	.	.
NGA	Nigeria	923768	361.5058	0	Africa	0	25	English	.	.	Yorouba	Hausa	English	.	Igbo	.	.	.	GBR	.	.	.	.	.	.
NIC	Nicaragua	130670	135.9633	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	.	.	.
NLD	Netherlands	41863	76.95715	0	Europe	1	25	Dutch	.	.	Dutch	.	.	.	.	.	.	.	.	.	.	.	ESP	.	.
NOR	Norway	323752	214.0129	0	Europe	1	25	Norwegian	.	.	Norwegian	.	.	.	.	.	.	.	.	.	.	.	DNK	.	.
NPL	Nepal	147181	144.2978	1	Asia	1	25	Nepali	.	.	Nepali	.	.	.	Maithili	.	.	.	.	.	.	.	.	.	.
NZL	New Zealand	268676	194.9612	0	Pacific	1	25	English	.	.	English	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
OMN	Oman	212379	173.3363	0	Asia	1	25	Arabic	.	.	Arabic	.	.	.	Balochi Southern	.	.	.	.	.	.	.	ESP	.	.
PAK	Pakistan	882872	353.4131	0	Asia	1	25	Urdu	Sindhi	English	Urdu	Punjabi	English	Sindhi	.	.	.	.	GBR	.	.	.	.	.	.
PAN	Panama	75648	103.4505	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	COL	.	.
PER	Peru	1285216	426.4046	0	America	1	25	Spanish	.	.	Spanish	.	.	.	Quecha	.	.	.	ESP	.	.	.	.	.	.
PHL	Philippines	300000	206.0129	0	Asia	1	25	English	.	.	English	Filipino	Cebuano	.	Hiligaynon	Ilocano	.	.	ESP	USA	.	.	.	.	.
PLW	Palau	487	8.300385	0	Pacific	1	17	English	.	.	English	Palauan	.	.	.	.	.	.	GBR	DEU	USA	JPN	.	.	.
PNG	Papua New Guinea	462840	255.8876	0	Pacific	1	25	English	Hiri Motu	Tok Pisin	Tok Pisin	.	.	.	Motu	English	.	.	GBR	DEU	AUS	.	.	.	.
