Indicator	iso3	Year	Value	Flag
SP_POP_GROW	GMB	2013	3.2539700000000003	
SP_POP_GROW	GMB	2014	3.23199	
SP_POP_GROW	GMB	2015	3.20114	
SP_POP_GROW	GEO	2003	-1.3015	
SP_POP_GROW	GEO	2004	-1.30269	
SP_POP_GROW	GEO	2005	-1.30411	
SP_POP_GROW	GEO	2006	-1.29716	
SP_POP_GROW	GEO	2007	-1.31421	
SP_POP_GROW	GEO	2008	-1.28207	
SP_POP_GROW	GEO	2009	-1.29872	
SP_POP_GROW	GEO	2010	-1.3158100000000001	
SP_POP_GROW	GEO	2011	-1.30754	
SP_POP_GROW	GEO	2012	-1.29872	
SP_POP_GROW	GEO	2013	-1.28932	
SP_POP_GROW	GEO	2014	-1.30616	
SP_POP_GROW	GEO	2015	-1.29626	
SP_POP_GROW	GHA	2003	2.58018	
SP_POP_GROW	GHA	2004	2.60112	
SP_POP_GROW	GHA	2005	2.60029	
SP_POP_GROW	GHA	2006	2.59525	
SP_POP_GROW	GHA	2007	2.59075	
SP_POP_GROW	GHA	2008	2.57607	
SP_POP_GROW	GHA	2009	2.55088	
SP_POP_GROW	GHA	2010	2.51755	
SP_POP_GROW	GHA	2011	2.4806	
SP_POP_GROW	GHA	2012	2.4412700000000003	
SP_POP_GROW	GHA	2013	2.39764	
SP_POP_GROW	GHA	2014	2.3500799999999997	
SP_POP_GROW	GHA	2015	2.30023	
SP_POP_GROW	GRD	2003	0.26507	
SP_POP_GROW	GRD	2004	0.27899	
SP_POP_GROW	GRD	2005	0.28598	
SP_POP_GROW	GRD	2006	0.29872	
SP_POP_GROW	GRD	2007	0.31714000000000003	
SP_POP_GROW	GRD	2008	0.33442	
SP_POP_GROW	GRD	2009	0.34961	
SP_POP_GROW	GRD	2010	0.36272	
SP_POP_GROW	GRD	2011	0.37474	
SP_POP_GROW	GRD	2012	0.38566	
SP_POP_GROW	GRD	2013	0.40307	
SP_POP_GROW	GRD	2014	0.4212	
SP_POP_GROW	GRD	2015	0.44658000000000003	
SP_POP_GROW	GTM	2003	2.4242	
SP_POP_GROW	GTM	2004	2.39188	
SP_POP_GROW	GTM	2005	2.3468400000000003	
SP_POP_GROW	GTM	2006	2.29853	
SP_POP_GROW	GTM	2007	2.25451	
SP_POP_GROW	GTM	2008	2.21522	
SP_POP_GROW	GTM	2009	2.18308	
SP_POP_GROW	GTM	2010	2.156	
SP_POP_GROW	GTM	2011	2.1290400000000003	
SP_POP_GROW	GTM	2012	2.10067	
SP_POP_GROW	GTM	2013	2.07373	
SP_POP_GROW	GTM	2014	2.04825	
SP_POP_GROW	GTM	2015	2.02367	
SP_POP_GROW	GIN	2003	1.81877	
SP_POP_GROW	GIN	2004	1.9545700000000001	
SP_POP_GROW	GIN	2005	2.1350700000000002	
SP_POP_GROW	GIN	2006	2.3435900000000003	
SP_POP_GROW	GIN	2007	2.53589	
SP_POP_GROW	GIN	2008	2.6710700000000003	
SP_POP_GROW	GIN	2009	2.72838	
SP_POP_GROW	GIN	2010	2.7306	
SP_POP_GROW	GIN	2011	2.72262	
SP_POP_GROW	GIN	2012	2.72333	
SP_POP_GROW	GIN	2013	2.71427	
SP_POP_GROW	GIN	2014	2.69829	
SP_POP_GROW	GIN	2015	2.67707	
SP_POP_GROW	GNB	2003	2.1160200000000002	
SP_POP_GROW	GNB	2004	2.1246400000000003	
SP_POP_GROW	GNB	2005	2.13979	
SP_POP_GROW	GNB	2006	2.15192	
SP_POP_GROW	GNB	2007	2.16683	
SP_POP_GROW	GNB	2008	2.19854	
SP_POP_GROW	GNB	2009	2.25073	
SP_POP_GROW	GNB	2010	2.3129299999999997	
SP_POP_GROW	GNB	2011	2.37717	
SP_POP_GROW	GNB	2012	2.42689	
SP_POP_GROW	GNB	2013	2.44949	
SP_POP_GROW	GNB	2014	2.43853	
SP_POP_GROW	GNB	2015	2.40417	
SP_POP_GROW	GUY	2003	-0.07672999999999999	
SP_POP_GROW	GUY	2004	-0.050519999999999995	
SP_POP_GROW	GUY	2005	0.044860000000000004	
SP_POP_GROW	GUY	2006	0.16283	
SP_POP_GROW	GUY	2007	0.25958000000000003	
SP_POP_GROW	GUY	2008	0.32911	
SP_POP_GROW	GUY	2009	0.35401	
SP_POP_GROW	GUY	2010	0.34745	
SP_POP_GROW	GUY	2011	0.33407	
SP_POP_GROW	GUY	2012	0.33375	
SP_POP_GROW	GUY	2013	0.34526	
SP_POP_GROW	GUY	2014	0.3751	
SP_POP_GROW	GUY	2015	0.41698999999999997	
SP_POP_GROW	HTI	2003	1.59246	
SP_POP_GROW	HTI	2004	1.57639	
SP_POP_GROW	HTI	2005	1.5692	
SP_POP_GROW	HTI	2006	1.56455	
SP_POP_GROW	HTI	2007	1.55519	
SP_POP_GROW	HTI	2008	1.53851	
SP_POP_GROW	HTI	2009	1.51166	
SP_POP_GROW	HTI	2010	1.47756	
SP_POP_GROW	HTI	2011	1.44233	
SP_POP_GROW	HTI	2012	1.40885	
SP_POP_GROW	HTI	2013	1.37474	
SP_POP_GROW	HTI	2014	1.34057	
SP_POP_GROW	HTI	2015	1.3065799999999999	
SP_POP_GROW	HND	2003	1.93987	
SP_POP_GROW	HND	2004	1.8991799999999999	
SP_POP_GROW	HND	2005	1.8606	
SP_POP_GROW	HND	2006	1.8268799999999998	
SP_POP_GROW	HND	2007	1.79214	
SP_POP_GROW	HND	2008	1.7471599999999998	
SP_POP_GROW	HND	2009	1.68865	
SP_POP_GROW	HND	2010	1.6226200000000002	
SP_POP_GROW	HND	2011	1.55424	
SP_POP_GROW	HND	2012	1.4939799999999999	
SP_POP_GROW	HND	2013	1.4492	
SP_POP_GROW	HND	2014	1.42464	
SP_POP_GROW	HND	2015	1.41403	
