Indicator	iso3	Time	Value	Flag
XGOVEXP_IMF_2	PRT	1999	2.56231	
XGOVEXP_IMF_2	PRT	2000	2.60397	
XGOVEXP_IMF_2	PRT	2001	2.6234900000000003	
XGOVEXP_IMF_2	PRT	2002	2.61295	
XGOVEXP_IMF_2	PRT	2003	2.46803	
XGOVEXP_IMF_2	PRT	2004	2.33143	
XGOVEXP_IMF_2	PRT	2005	2.30008	
XGOVEXP_IMF_2	PRT	2006	2.2726900000000003	
XGOVEXP_IMF_2	PRT	2007	2.1696	
XGOVEXP_IMF_2	PRT	2008	2.19523	
XGOVEXP_IMF_2	PRT	2009	2.48619	
XGOVEXP_IMF_2	PRT	2010	2.29903	
XGOVEXP_IMF_2	PRT	2011	2.26557	
XGOVEXP_IMF_2	PRT	2012	2.3990400000000003	
XGOVEXP_IMF_2	PRT	2013	2.46572	
XGOVEXP_IMF_2	PRT	2014	2.2612	
XGOVEXP_IMF_5T8	SRB	2007	2.68666	
XGOVEXP_IMF_5T8	SRB	2008	2.95909	
XGOVEXP_IMF_5T8	SRB	2009	3.02274	
XGOVEXP_IMF_5T8	SRB	2010	3.05753	
XGOVEXP_IMF_5T8	SRB	2011	3.09523	
XGOVEXP_IMF_5T8	SRB	2012	2.79569	
XGOVEXP_IMF_2T3	LAO	2002	3.07832	
XGOVEXP_IMF_2T3	LAO	2009	2.57297	
XGOVEXP_IMF_2T3	LAO	2010	2.1750700000000003	
XGOVEXP_IMF_2T3	LAO	2011	2.8931400000000003	
XGOVEXP_IMF_2T3	LAO	2012	2.93548	
XGOVEXP_IMF_2T3	LAO	2013	4.83091	
XGOVEXP_IMF_2T3	LAO	2014	4.7049	
XGOVEXP_IMF_3	GTM	2000	0.44427	
XGOVEXP_IMF_3	GTM	2001	0.51437	
XGOVEXP_IMF_3	GTM	2002	0.49377	
XGOVEXP_IMF_3	GTM	2004	0.70002	
XGOVEXP_IMF_3	GTM	2005	0.64158	
XGOVEXP_IMF_3	GTM	2006	0.66208	
XGOVEXP_IMF_3	GTM	2007	0.932	
XGOVEXP_IMF_3	GTM	2008	0.89384	
XGOVEXP_IMF_3	GTM	2010	1.38234	
XGOVEXP_IMF_3	GTM	2011	0.71409	
XGOVEXP_IMF_3	GTM	2012	0.78498	
XGOVEXP_IMF_3	GTM	2013	0.7111	
XGOVEXP_IMF_3	GTM	2014	0.8660700000000001	
XGOVEXP_IMF_3	GTM	2015	0.90279	
XGOVEXP_IMF_02	TGO	1999		n
XGOVEXP_IMF_02	TGO	2000		n
XGOVEXP_IMF_02	TGO	2001		n
XGOVEXP_IMF_02	TGO	2007		n
XGOVEXP_IMF_02	TGO	2008		n
XGOVEXP_IMF_02	TGO	2009		n
XGOVEXP_IMF_02	TGO	2010	0.5164300000000001	
XGOVEXP_IMF_02	TGO	2011	0.3744	
XGOVEXP_IMF_02	TGO	2012	0.59211	
XGOVEXP_IMF_02	TGO	2013	0.5303399999999999	
XGOVEXP_IMF_02	TGO	2014	0.27568000000000004	
XGOVEXP_IMF_02	TGO	2015	0.28542	
XGOVEXP_IMF_4	MLI	2008		a
XGOVEXP_IMF_4	MLI	2009		a
XGOVEXP_IMF_4	MLI	2010		n
XGOVEXP_IMF_4	MLI	2011		n
XGOVEXP_IMF_4	MLI	2012	0.24261	
XGOVEXP_IMF_4	MLI	2013	0.16656	
XGOVEXP_IMF_4	MLI	2014	0.15882000000000002	
XGOVEXP_IMF	MDA	1999	14.122420000000002	
XGOVEXP_IMF	MDA	2000	12.92393	
XGOVEXP_IMF	MDA	2001	16.42476	
XGOVEXP_IMF	MDA	2002	17.884339999999995	
XGOVEXP_IMF	MDA	2003	16.19259	
XGOVEXP_IMF	MDA	2004	19.45202	
XGOVEXP_IMF	MDA	2005	19.29665	
XGOVEXP_IMF	MDA	2006	18.60882	
XGOVEXP_IMF	MDA	2007	19.416970000000006	
XGOVEXP_IMF	MDA	2008	19.85008	
XGOVEXP_IMF	MDA	2009	20.99263	
XGOVEXP_IMF	MDA	2010	22.26701	
XGOVEXP_IMF	MDA	2011	21.91588	
XGOVEXP_IMF	MDA	2012	20.74197	
XGOVEXP_IMF	MDA	2014	18.7651	
XGOVEXP_IMF_5T8	BRA	1999	2.02244	
XGOVEXP_IMF_5T8	BRA	2000	2.52793	
XGOVEXP_IMF_5T8	BRA	2001	2.2908	
XGOVEXP_IMF_5T8	BRA	2002	2.27333	
XGOVEXP_IMF_5T8	BRA	2004	1.96654	
XGOVEXP_IMF_5T8	BRA	2005	2.13826	
XGOVEXP_IMF_5T8	BRA	2006	2.07016	
XGOVEXP_IMF_5T8	BRA	2007	2.1375900000000003	
XGOVEXP_IMF_5T8	BRA	2008	2.24042	
XGOVEXP_IMF_5T8	BRA	2009	2.3540400000000004	
